'3DRendering', '3-D / Rendering Options'
'com.atakmap.app.preferences.DisplayPrefsFragment', 'Display Preferences'
'com.atakmap.app.preferences.LegacyPreferencesFragment', 'Legacy Preferences'
'com.atakmap.app.preferences.LoggingPreferenceFragment', 'Logging Preferences'
'com.atakmap.app.preferences.MainPreferencesFragment', 'Help'
'com.atakmap.app.preferences.MainPreferencesFragment', 'Settings'
'com.atakmap.app.preferences.MyPreferenceFragment', 'My Preferences'
'com.atakmap.app.preferences.NetworkConnectionPreferenceFragment', 'Network Connection Preferences'
'com.atakmap.app.preferences.NetworkPreferenceFragment', 'Network Preferences'
'com.atakmap.app.preferences.OtherDisplayPreferenceFragment', 'Other Control Preferences'
'com.atakmap.app.preferences.PointDroppingBehaviorPreferenceFragment', 'Point Dropping Behavior'
'com.atakmap.app.preferences.ReportingPreferenceFragment', 'Reporting Preferences'
'com.atakmap.app.preferences.SelfCoordinatePreferenceFragment', 'Self Coordinate'
'com.atakmap.app.preferences.SelfMarkerCustomFragment', 'Gps Icon Preferences'
'com.atakmap.app.preferences.SpecificPreferenceFragment', 'Specific Tool Preferences'
'com.atakmap.app.preferences.StaleDataPreferenceFragment', 'Stale Data Preferences'
'com.atakmap.app.preferences.SupportPreferenceFragment', 'Support'
'com.atakmap.app.preferences.TadilJPreferenceFragment', 'Datalink Preferences'
'com.atakmap.app.preferences.ThreeDRenderingFragment', '3-D / Rendering Options'
'com.atakmap.app.preferences.UsabilityPreferenceFragment', 'Usability Settings'
'com.atakmap.app.preferences.UserTouchPreferenceFragment', 'User Touch Preferences'
'compass_heading_display', 'Compass Heading Display'
'configuration_category', 'Configuration'
'configureNonStreamingEncryption', 'Configure AES-256 Mesh Encryption'
'constantReportingRateReliable', 'Constant Reporting Rate (Reliable)'
'constantReportingRateUnreliable', 'Constant Reporting Rate (Unreliable)'
'contactPrefs', 'Contact Preferences'
'control_preferences_category', 'Control Preferences'
'controlPrefs', 'Control Preferences'
'coord_display_pref', 'Coordinate Display'
'coordEntryPreferences', 'Coordinate Entry Preferences'
'coord_entry_prefs_category', 'Coordinate Entry Preferences'
'coordinate_entry_tabs', 'Coordinate Entry Tabs'
'coordinate_preferences_category', 'Coordinate Preferences'
'custom_actionbar_icon_color', 'Toolbar Icon Color'
'custom_color_gps_icon_pref', 'Custom'
'datapackage_general settings', 'General File Sharing Settings'
'datapackage_overlay_manager_settings', 'User Experience Settings'
'dataUsagePreferences', 'Data Usage Preferences'
'debug_logging_preferences_category', 'Debug Logging Preferences'
'default_actionbar_colors', 'Reset Toolbar Colors To Default'
'default_client_credentials', 'Default SSL/TLS Credentials'
